Assembly	R	Rlower	Rupper	C	R.pvalue	C.pvalue	Npairs	Nmotifs	MedianDistPM	MedianDistMP	MedianDistPP	MedianDistMM	AssemblyLength	PalindromeValue	R.qvalue	Name
choHof1	1.41296129612961	0.711966740863691	2.11395585139553	0.956947914664617	0.00787868770801372	0.562043549345427	341	625	7849	5555	4979	5203	741557972	NA	0.00972525513957944	Sloth
ci2	0.987314728268127	0.872160472043316	1.10246898449294	0.980429664508534	0.940835705226202	0.98641110896916	8436	9492	7394	7489	6663	6796	168118419	NA	0.952897701447051	C.intestinalis
criGri1	1.55787869093099	1.41169806048952	1.70405932137245	0.967587407164889	4.49756286277648e-22	0.687387978164879	10338	11904	82781	53137	56152	58033	2291556431	NA	7.10614932318685e-22	Chinese_hamster
danRer10	1.0838066442131	0.890150957706465	1.27746233071974	0.723599632690542	0.549388094663199	1.72653446489866e-14	7403	7475	283177	261280	788	1089	1363284376	NA	0.571074466820957	Zebrafish
dipOrd1	1.4608038201353	1.17785138099856	1.74375625927203	1.30088958660387	5.11291346360096e-06	0.000120963563305645	4382	6671	14684	10052	9944	7644	1230783083	NA	6.84610446821146e-06	Kangaroo_rat
dm6	0.998490566037736	0.896757307905943	1.10022382416953	1.0114205570026	0.974851752219059	0.736139900159659	8114	8723	10584	10600	10096	9982	141001130	NA	0.974851752219059	D.melanogaster
droYak2	1.00080891605249	0.911298192471704	1.09031963963328	0.961357752421133	0.785656370369121	0.561429215331718	9202	9892	11135	11126	10026	10429	168647858	NA	0.806063029339747	D.yakuba
echTel2	1.5833053070559	1.43364621963554	1.73296439447625	0.98028514521701	1.90366158375317e-28	0.595713748142824	14008	14351	117695	74335	87115	88867	2918775039	NA	3.95761223990791e-28	Tenrec
equCab2	1.5044947976135	1.39317853030149	1.6158110649255	0.93980906780162	9.01574318166138e-37	0.388661484822843	16693	16922	93554	62183	63595	67668	2484515402	NA	4.74829140900833e-36	Horse
eriEur2	1.56439721670465	1.36878172938593	1.76001270402336	1.02278803879672	2.05810951520953e-22	0.876792053854188	9134	10233	128376	82061	91426	89389	2690003833	NA	3.38730524378234e-22	Hedgehog
felCat8	1.65332876627016	1.46532330507084	1.84133422746949	1.05796149375916	5.69241813241054e-36	0.506752791502592	14050	14222	106190	64228	83744	79156	2431778457	NA	2.24850516230216e-35	Cat
fr3	1.81451839370963	1.69226094589898	1.93677584152029	1.06263498920086	1.01243420747984e-69	0.238917780373381	17061	17778	12923	7122	9840	9260	378345235	NA	3.99911511954537e-68	Fugu
gadMor1	1.55375359665184	1.34173575087214	1.76577144243154	0.992837563002918	2.38919839400442e-23	0.687014282530763	6476	7603	41580	26761	33684	33927	612405630	NA	4.10318854622497e-23	Atlantic_cod
galGal4	1.73624431510239	1.59790323564427	1.87458539456051	0.986950501903773	3.86521425213012e-48	0.717538697044202	10145	10375	73681	42437	57026	57780	1026084280	NA	1.01783975306093e-46	Chicken
gasAcu1	1.55208782779616	1.37539779869746	1.72877785689485	1.0446111648919	2.19874738024869e-22	0.756192203921657	8853	9579	32375	20859	25898	24792	463354448	NA	3.54491924570708e-22	Sticleback
geoFor1	1.40837455423904	1.27532732848679	1.54142177999129	1.03137124302723	4.74558818567774e-19	0.597989870548057	9208	9818	73458	52158	61939	60055	1040407751	NA	7.20964358977964e-19	Medium_ground_finch
gorGor3	1.56131339141572	1.45132601643815	1.6713007663933	1.08056012786565	3.31251928680614e-33	0.0377161256448795	15737	15964	117022	74951	90592	83838	2923604801	NA	9.02375943647189e-33	Gorilla
hetGla2	1.53186124694377	1.40596725397609	1.65775523991144	0.957420500301195	2.20655061889954e-35	0.0735286279244362	15762	16184	80196	52352	60396	63082	2604698931	NA	7.92352267695743e-35	Naked_mole_rat
hg38	1.44493397969842	1.32485481925413	1.56501314014272	1.06311697611375	1.16908168977921e-34	0.061870284690639	16534	16900	107899	74674	83140	78204	3205068002	NA	3.69429813970231e-34	Human
latCha1	0.965696392960851	0.889601520331968	1.04179126558973	0.968497286417712	0.391888050143212	0.647314809115573	12805	15008	55205	57166	53893	55646	2740674925	NA	0.418366972450186	Coelacanth
loxAfr3	1.64325301315923	1.42318975197137	1.86331627434709	1.0591250519005	2.01908965448301e-26	0.164482400810156	9049	9363	178196	108441	140297	132465	3168238257	NA	3.79781149295613e-26	Elephant
macEug2	1.24093558398304	0.953333215945863	1.52853795202023	0.764271617571815	0.00179119862270287	0.278475217209533	2340	4009	16394	13211	10456	13681	1529681379	NA	0.00231974903595945	Wallaby
melGal1	1.57439415696077	1.42936042046102	1.71942789346052	1.02286222021635	3.40894827642341e-31	0.989087743606235	8768	8941	88810	56409	72524	70903	1051488515	NA	7.90895197563655e-31	Turkey
melUnd1	1.65163693020958	1.49667662318401	1.80659723723515	0.998090521228034	5.62746782616824e-36	0.64026972177868	8974	9391	86924	52629	66906	67034	1079548280	NA	2.24850516230216e-35	Budgerigar
micMur2	1.54530294608116	1.4136824726876	1.67692341947471	0.97389505048833	4.3216247200928e-32	0.779871817616036	14325	15455	83400	53970	58833	60410	2397391648	NA	1.10131726737849e-31	Mouse_lemur
mm10	1.57054030115146	1.46339426248029	1.67768633982263	1.0110862225685	2.04692761909961e-38	0.914958388768856	15842	15987	88657	56450	62291	61608	2730295064	NA	1.7691933581143e-37	Mouse
monDom5	1.49127860661641	1.34431680838282	1.63824040484999	1.05416027149177	6.70378634210321e-25	0.230750335361935	9447	9582	234001	156913	198491	188293	3605614649	NA	1.20363436596853e-24	Oppossum
musFur1	1.63009262745689	1.48933788807852	1.77084736683525	0.967625677673731	2.46598922492962e-37	0.519334001822113	14209	14768	86584	53116	62826	64928	2385506819	NA	1.49856268284185e-36	Ferret
myoLuc2	1.06483036614041	0.919947141949434	1.20971359033139	0.943468989030915	0.184804605535179	0.160774729144704	5618	6358	174350	163735	147768	156622	1949008015	NA	0.214699468195281	Microbat
nomLeu3	1.52414625285447	1.40881995520321	1.63947255050574	0.948864005544606	6.16401894432054e-36	0.0982463189483395	15036	15324	117469	77072	87620	92342	2851780511	NA	2.31884522191106e-35	Gibbon
ochPri3	1.68153718231445	1.55105036837486	1.81202399625404	0.99879999392402	6.71726757819128e-39	0.657307281669487	12989	13357	93026	55322	65754	65833	2192654678	NA	6.63330173346389e-38	Pika
oreNil2	1.25149355292598	1.11671419276413	1.38627291308783	0.957466918714556	5.99177634518185e-08	0.452089849444755	9367	9785	54256	43353	41533	43378	914949222	NA	8.30439177665554e-08	Nile_tilapia
ornAna2	1.6768015896127	1.48888539972427	1.86471777950113	1.07660791465159	9.61143176067903e-23	0.696272029310945	7491	8762	97890	58379	67007	62239	1539523577	NA	1.61553852998648e-22	Platypus
oryCun2	1.70786063841619	1.48301972333302	1.93270155349937	1.26175913163336	2.02214201775427e-16	0.000189851961853908	8564	9083	122843	71928	87879	69648	2706462482	NA	2.9583188778257e-16	Rabbit
oryLat2	1.59874097791285	1.46471154167715	1.73277041414854	0.985621626525151	3.60016709638079e-39	0.257115941127026	17237	17924	29460	18427	21730	22047	853871699	NA	4.06304572305832e-38	Medaka
otoGar3	1.60857320356181	1.47558557389396	1.74156083322967	1.06017371975307	3.30513131284451e-41	0.977219519469848	13944	14468	116517	72435	87758	82777	2501336520	NA	4.35175622857861e-40	Bushbaby
oviAri3	1.64371826422853	1.49739438718315	1.79004214127391	1.00523877254996	1.93929529703633e-42	0.80980431792733	14557	14771	105530	64202	71381	71009	2598532120	NA	3.83010821164674e-41	Sheep
panPan1	1.48526644919395	1.34248534522481	1.6280475531631	0.971970893771842	8.6067344243904e-32	0.338877668221375	14533	15247	109730	73879	81214	83556	2845924965	NA	2.12478756102138e-31	Bonobo
panTro5	1.44723480545785	1.33264233223064	1.56182727868507	0.946302061628221	1.47201999459254e-34	0.119319347652645	16936	17358	105748	73069	77205	81586	3103635054	NA	4.47267613741581e-34	Chimpanzee
papAnu2	1.52955845491355	1.41670909479266	1.64240781503445	0.924047917442898	7.72069683431294e-38	0.105910243185733	14619	14981	118992	77795	81842	88569	2786534124	NA	5.54486409009747e-37	Baboon
petMar2	1.40582087453719	1.14868901490888	1.6629527341655	1.38008249852681	0.001963672771196	0.000503504513933112	4152	5803	29996	21337	23420	16970	792634197	NA	0.00250209917620136	Lamprey
ponAbe2	1.48986709397681	1.39219966839416	1.58753451955947	0.985055330338556	3.50396606515543e-31	0.962240853506315	17111	17409	126448	84872	89906	91270	3446754897	NA	7.90895197563655e-31	Orangutan
proCap1	1.29499025175892	1.06564894895388	1.52433155456396	1.13533171699361	0.00448560344473162	0.602816183351846	2076	3517	15277	11797	10302	9074	1201179335	NA	0.00562480431958409	Rock_hyrax
pteVam1	1.73045358766774	1.49714759085567	1.96375958447981	1.21838254507447	1.14858959532943e-18	0.00565796058138922	5135	7618	31207	18034	18651	15308	1553578744	NA	1.71204864209481e-18	Megabat
rheMac3	1.52278023981742	1.41396906363866	1.63159141599618	0.894625463234847	4.89694873615188e-36	0.0596005530569135	14218	14505	126106	82813	88355	98762	2933387711	NA	2.14921638975555e-35	Rhesus
rn6	1.52129377821339	1.37757761633929	1.6650099400875	0.959252144623967	1.24230586134778e-25	0.539220760299825	13715	13846	110201	72439	72907	76004	2860352768	NA	2.28237588480173e-25	Rat
saiBol1	1.55542907909714	1.41045170702686	1.70040645116742	1.03856077474994	6.13529173877507e-35	0.369244165134381	14403	14859	112050	72038	88152	84879	2602402321	NA	2.01953353068013e-34	Squirrel_monkey
sarHar1	1.94892997970981	1.70625980111874	2.19160015830088	1.03502013150653	4.097991415841e-35	0.15366520491506	7079	8611	152724	78363	107196	103569	2892832835	NA	1.40757096457147e-34	Tasmanian_devil
sorAra2	1.69197090437361	1.50896053049909	1.87498127824813	1.03269408265819	3.11836877005916e-33	0.520394230664248	13048	13666	73039	43168	50349	48755	2383508540	NA	8.79825474409549e-33	Shrew
speTri2	1.5968545751634	1.45434195343146	1.73936719689534	1.09324836504162	5.80742935285983e-37	0.0107463471007438	16028	16769	78182	48960	58843	53824	2421163946	NA	3.27704942054233e-36	Thirteen_lined_ground_squirrel
strPur2	0.771181259452328	0.662692517060899	0.879670001843758	0.839074960127592	1.67466248243385e-06	0.133332200496669	6156	8218	23966	31077	21044	25080	753781023	NA	2.28100579503921e-06	Purple_sea_urchin
susScr3	1.51322297698345	1.38879368537609	1.6376522685908	1.03519829620676	5.94922708849766e-22	0.779980123281624	14841	15317	91780	60652	71938	69492	2768334822	NA	9.21546941159441e-22	Pig
taeGut2	1.50361392193929	1.37066087390436	1.63656696997421	0.985777546235999	3.31200259395559e-27	0.916734475961567	9954	10261	81132	53958	56766	57585	1114002758	NA	6.54120512306229e-27	Zebra_finch
tarSyr2	1.24631470689064	1.07357979060464	1.41904962317664	1.13145179145882	2.94318900482446e-05	0.299302321994259	3902	5948	101794	81676	86874	76781	2789692813	NA	3.8751988563522e-05	Tarsier
tetNig2	1.84153075638885	1.70748062141288	1.97558089136483	0.996964484468279	8.44850448348234e-90	0.879782660259929	16545	16998	14340	7787	9853	9883	358601784	NA	6.67431854195105e-88	Tetraodon
triMan1	1.5618292392082	1.43539620543388	1.68826227298253	1.06898314398538	1.08854724466288e-31	0.127923365555749	15852	16457	104780	67088	83649	78251	3075260005	NA	2.60591613116266e-31	Florida_manatee
tupBel1	1.20717219940047	0.843650628543125	1.57069377025781	1.18398327736276	0.229183042233906	0.289202933840929	1428	2462	43492	36028	34551	29182	2254895870	NA	0.258649433378265	Tree_shrew
turTru2	1.56324092650009	1.39028755603499	1.73619429696519	1.16275817555938	2.71512950662482e-12	0.0551513667262835	5312	7910	34285	21932	21618	18592	1919059779	NA	3.89991329133384e-12	bottlenose_dolphin
vicPac2	1.60222557525462	1.43980084875487	1.76465030175437	1.01931803448723	2.23948526343583e-38	0.83324516130379	13183	13772	84950	53020	62896	61704	2036004949	NA	1.7691933581143e-37	Alpaca
xenTro7	1.85083004123222	1.52661216341292	2.17504791905151	1.00642345959155	1.42992087790707e-24	0.903694060546691	8146	8569	85736	46323	57658	57290	1403188096	NA	2.51030554121463e-24	X.tropicalis
